Date,Open,High,Low,Close,Adj Close,Volume
2019-11-19,197.399994,200.000000,196.860001,199.320007,198.911255,19056800
2019-11-20,198.580002,199.589996,195.429993,197.509995,197.104965,12355400
2019-11-21,197.419998,199.089996,196.860001,197.929993,197.524094,12131000
2019-11-22,198.380005,199.300003,197.619995,198.820007,198.412292,9959800
2019-11-25,199.520004,200.970001,199.250000,199.789993,199.380280,15272300
2019-11-26,200.000000,200.149994,198.039993,198.970001,198.561966,11735500
2019-11-27,199.899994,203.139999,199.419998,202.000000,201.585754,12736600
2019-11-29,201.600006,203.800003,201.210007,201.639999,201.226501,7985200
2019-12-02,202.130005,202.179993,198.050003,199.699997,199.290466,11503400
2019-12-03,197.600006,198.929993,195.080002,198.820007,198.412292,11595300
2019-12-04,200.000000,200.029999,198.050003,198.710007,198.302505,8456300
2019-12-05,199.860001,201.289993,198.210007,199.360001,198.951172,9740400
2019-12-06,200.500000,201.570007,200.059998,201.050003,200.637711,12270600
2019-12-09,200.649994,203.139999,200.210007,201.339996,200.927109,11954800
2019-12-10,201.660004,202.050003,200.149994,200.869995,200.458069,9475700
2019-12-11,200.279999,202.630005,200.279999,202.259995,201.845215,8036800
2019-12-12,202.350006,203.660004,194.100006,196.750000,196.346527,23734800
2019-12-13,196.399994,196.800003,193.169998,194.110001,193.711929,18798000
2019-12-16,195.270004,199.119995,194.809998,197.919998,197.514114,14911500
2019-12-17,198.839996,199.000000,196.130005,198.389999,197.983170,10175700
2019-12-18,200.089996,204.300003,200.089996,202.500000,202.084732,23274400
2019-12-19,202.779999,206.300003,202.509995,206.059998,205.637421,16514600
2019-12-20,207.479996,207.710007,203.429993,206.300003,205.876938,27306900
2019-12-23,206.699997,208.589996,205.679993,206.179993,205.757187,13348900
2019-12-24,206.300003,206.789993,205.000000,205.119995,204.699356,6046300
2019-12-26,205.570007,207.820007,205.309998,207.789993,207.363876,9350700
2019-12-27,208.669998,208.929993,206.589996,208.100006,207.673248,10284200
2019-12-30,207.860001,207.899994,203.899994,204.410004,203.990814,10524300
2019-12-31,204.000000,205.559998,203.600006,205.250000,204.829086,8953500
2020-01-02,206.750000,209.789993,206.270004,209.779999,209.349792,12077100
2020-01-03,207.210007,210.399994,206.949997,208.669998,208.242081,11188400
2020-01-06,206.699997,212.779999,206.520004,212.600006,212.164032,17058900
2020-01-07,212.820007,214.580002,211.750000,213.059998,212.623077,14912400
2020-01-08,213.000000,216.240005,212.610001,215.220001,214.778656,13475000
2020-01-09,217.539993,218.380005,216.279999,218.300003,217.852341,12642800
2020-01-10,219.199997,219.880005,217.419998,218.059998,217.612808,12119400
2020-01-13,219.600006,221.970001,219.210007,221.910004,221.454926,14463400
2020-01-14,221.610001,222.380005,218.630005,219.059998,218.610764,13288900
2020-01-15,220.610001,221.679993,220.139999,221.149994,220.696487,10036500
2020-01-16,222.570007,222.630005,220.389999,221.770004,221.315216,10015300
2020-01-17,222.029999,222.289993,220.529999,222.139999,221.684448,15905900
